"","Movie","Release_Date.x","Opening.Day","Opening.Weekend","Opening.Week","Lifetime","V","Year","Budget","Genre","SubGenre","Cast","Director","Production","Distributors","X","X.1","X.2","X.3","Release_Date.y","Verified.FB.Page","FB.Following","Trailer.Thumbs.Down","Trailer.Thumbs.Up","Youtube.Trailer.hits","Trailer.Date","Days.between.Releases"
"11","Agent Vinod","2012-03-23",9.06,27.05,"38.15",44,"Average",2012,60,"Action","","Saif Ali Khan,Kareena Kapoor Khan","Sriram Raghavan","Illuminati Films,
Eros Entertainment","Illuminati Films,
Eros Entertainment","",NA,NA,NA,"3/23/2012","NP",4534,529,1632,1857597,"2/21/2012",31
"12","Agneepath","2012-01-26",23,67,"91.08",123,"Super-Hit",2012,60,"Drama","","Hrithik Roshan,Sanjay Dutt,Priyanka Chopra","Karan Malhotra","Dharma Productions","Eros International","",NA,NA,NA,"1/26/2012","N",1154295,786,8074,6022500,"8/28/2011",151
"13","Aiyyaa","2012-10-12",1.5,4.5,"6.5",8,"Flop",2012,16,"Comedy","","Rani Mukherjee","","","","",NA,NA,NA,"10/12/2012","NP",3455,145,866,493842,"9/8/2012",34
"14","Ajab Gazabb Love","2012-10-26",1.25,4.75,"6.5",7,"Flop",2012,12,"Rom-Com","","Jacky Bhagani","Sanjay Gadhvi","","","",NA,NA,NA,"10/26/2012","NP",2936,25,219,187965,"8/16/2012",71
"15","Alone ","2015-01-16",3.5,14,"22",22,"Flop",2015,18,"Horror","","Bipasha Basu,Karan Singh Grover","Bhushan Patel","","","",NA,NA,NA,"12/26/2014","Y",320581,2954,19008,8801439,"12/9/2014",17
"16","Amit Sahni Ki List ","2014-07-18",0.68,3,"4",4,"Flop",2014,17,"Rom-Com","","Vir Das","","","","",NA,NA,NA,"7/18/2014","N",64227,54,588,572434,"6/14/2014",34
"17","Aurangzeb","2013-05-17",3.9,12.8,"20",23,"Losing",2013,20,"Thriller","","Prithviraj Sukumaran,Arjun Kapoor,Sasha Agha,Rishi Kapoor,Jackie Shroff","Atul Sabharwal","","","",NA,NA,NA,"5/17/2013","N",2250,760,3442,1935263,"4/2/2013",45
"18","B.A. Pass","2013-08-02",1.5,4.25,"6",6,"Average",2013,5.5,"Neo Noir","","Shilpa Shukla,Shadab Kamal,Rajesh Sharma,Dibyendu Bhattacharya","Ajay Bahl","Narendra Singh,Ajay Bahl","VIP Films","",NA,NA,NA,"8/2/2013","N",333595,369,897,2303754,"7/1/2013",32
"19","Baby","2015-01-23",9.3,35.9,"63.82",95.5,"Semi Hit",2015,75,"Action / Thriller ","","Akshay Kumar,Taapsee Pannu,Rana Daggubati,Anupam Kher,Kay Kay Menon,Danny Denzongpa","Neeraj Pandey","","","",NA,NA,NA,"1/23/2015","Y",173242,29267,2432,7976757,"12/3/2014",51
"20","Badlapur ","2015-02-20",7.12,24,"37",51,"Hit",2015,25,"Crime ","","Varun Dhawan,Nawazuddin Siddiqui,Huma Qureshi,Divya Dutta,Radhika Apte,Yami Gautam,Kumud Mishra,Vinay Pathak","Sriram Raghavan","","","",NA,NA,NA,"2/20/2015","N",3575,18976,3231,4554209,"12/1/2014",81
"21","Badmashiyan","2015-03-06",0.12,NA,"0.54",1,"--",2015,3,"Rom-Com","","Siddhant Gupta,Suzanna Mukherjee,Karan Mehra,Sharib Hashmi,Gunjan Malhotra","Amit Khanna","","","",NA,NA,NA,"3/6/2015","N",28718,97,327,1022891,"1/28/2015",37
"22","Bajatey Raho","2013-07-26",1.5,4.75,"7",7,"Flop",2013,10,"Comedy","","Tusshar Kapoor,Dolly Ahluwalia,Ranvir Shorey,Vinay Pathak","","","","",NA,NA,NA,"7/26/2013","NP",156,77,522,473632,"6/17/2013",39
"23","Bang Bang","2014-10-02",27.54,94.13,"135.45",181,"Plus",2014,140,"Action","","Hrithik Roshan,Katrina Kaif,Danny Denzongpa,Javed Jaffrey,Jimmy Shergill","","","","",NA,NA,NA,"10/2/2014","NP",171515,1196,9501,15893186,"9/25/2014",7
"24","Barfi!","2012-09-14",9.2,34.6,"58.6",120,"Super-Hit",2012,40,"Comedy / Drama","","Ranbir Kapoor,Priyanka Chopra,Ileana D'Cruz","Anurag Basu","Ishana Movies","UTV Motion Pictures","",NA,NA,NA,"9/14/2012","NP",378274,1164,10058,4243778,"7/2/2012",74
"25","Barkhaa","2015-03-27",0.47,0.91,"0.96",1,"Flop",2015,7,"Romance","","Sara Loren,Taaha Shah,Priyanshu Chatterjee,Shweta Pandit,Puneet Issar","Shadaab Mirza","","","",NA,NA,NA,"3/27/2015","N",143,475,1747,1636643,"3/5/2015",22
"26","Bbuddah Hoga Terra Baap","2011-07-01",2,6.75,"11.5",13,"Losing",2011,10,"Comedy ","","Amitabh Bachchan","","","","",NA,NA,NA,"7/1/2011","NP",165,8,17,23591,"6/3/2011",28
"27","Besharam","2013-10-02",21.56,48,"55",60,"Flop",2013,85,"Comedy","","Ranbir Kapoor","Abhinav Kashyap","Movie Temple Productions","Reliance Entertainment","",NA,NA,NA,"10/2/2013","N",61496,8176,10258,5339177,"7/30/2013",64
"28","Bewakoofiyaan","2014-03-14",2.2,7,"13",14,"Flop",2014,22,"Rom-Com","","Sonam Kapoor,Ayushmann Khurrana","","","","",NA,NA,NA,"3/14/2014","N",995,1069,4765,2851499,"2/6/2014",36
"29","Bhaag Milkha Bhaag","2013-07-12",8.5,33.35,"53.7",104,"Hit",2013,50,"Biopic","","Farhan Akhtar","","","","",NA,NA,NA,"7/12/2013","N",1121883,471,6016,2558794,"6/30/2013",12
"30","Bheja Fry 2","2011-06-17",2,6.5,"8",12,"Average",2011,1.5,"Comedy","","Vinay Pathak,Kay Kay Menon","Sagar Ballary","","","",NA,NA,NA,"6/17/2011","NP",2870,32,216,277660,"5/7/2011",41
"31","Bhoot Returns","2012-10-12",1.25,3.5,"5",6,"Flop",2012,5,"Horror","","Manisha Koirala","Ram Gopal Varma","Alumbra Entertainment","Eros International","",NA,NA,NA,"10/12/2012","NP",2071,285,914,927634,"9/7/2012",35
"32","Bhoothnath Returns","2014-04-11",3.5,16.5,"28",39,"Average",2014,34,"Comedy","","Amitabh Bachchan","","","","",NA,NA,NA,"4/11/2014","N",8826,680,10849,3210815,"2/25/2014",45
"33","Bittoo Boss","2012-04-13",0.55,2.05,"2.15",3,"Flop",2012,6,"Rom-Com","","Pulkit Samrat,Amrita Pathak","Supavitra Babul","Wide Frame Pictures","Viacom 18","",NA,NA,NA,"4/13/2012","NP",1428,53,109,108849,"2/24/2012",49
"34","Blood Money","2012-03-30",1.75,5.05,"7.05",9,"Flop",2012,7,"Crime","","Kunal Khemu,Amrita Puri","Vishal Mahadkar","Vikram Bhatt","Viacom 18","",NA,NA,NA,"3/30/2012","NP",39059,17,88,118573,"2/24/2012",35
"35","Bobby Jasoos","2014-07-04",1.75,7,"10.85",11,"Flop",2014,28,"Comedy","","Vidya Balan","","","","",NA,NA,NA,"7/4/2014","Y",58371,1245,4513,3113801,"5/27/2014",38
"36","Bodyguard","2011-08-31",21,86,"115",230,"Super-hit",2011,65,"Action","","Salman Khan,Kareena Kapoor Khan,Raj Babbar","Siddique","Reel Life Productions","Reliance Entertainment","",NA,NA,NA,"8/31/2011","NP",209128,1176,3128,2369398,"7/21/2011",41
"37","Bol Bachchan","2012-07-06",11.4,38.5,"60.5",102,"Super-Hit",2012,70,"Comedy","","Abhishek Bachchan,Ajay Devgn","Sachin Yardi","Fox Star Studios","Ajay Devgn Films,
Shree Ashtavinayak Cine Vision Ltd","",NA,NA,NA,"7/6/2012","N",313268,748,2605,2772046,"5/24/2012",43
"38","Bombay Talkies","2013-05-03",1.05,5.05,"7.5",8,"Plus",2013,6,"Drama","","Rani Mukerji,Randeep Hooda,Saqib Saleem,Vineet Kumar Singh,Nawazuddin Siddiqui,Sadashiv Amrapurkar,Naman Jain,Katrina Kaif,Amitabh Bachchan","Karan Johar,
Dibakar Banerjee,
Zoya Akhtar,
Anurag Kashyap","Flying Unicorn Entertainment","Viacom 18","",NA,NA,NA,"5/3/2013","N",192770,339,2834,1578668,"3/25/2013",39
"39","Bombay Velvet","2015-05-15",5.2,16.1," 22.27",23.67,"Disaster",2015,110,"Action","","Ranbir Kapoor,Anushka Sharma,Karan Johar,Kay Kay Menon,Manish Chaudhary,Satyadeep Misra,Siddharth Basu,Vivaan Shah","Anurag Kashyap","Phantom Films","Fox STAR Studios","",NA,NA,NA,"5/15/2015","N",11233,5585,15218,6118132,"3/18/2015",58
"40","Boss","2013-10-16",13,42.5,"49.5",54,"Flop",2013,60,"Action","","Akshay Kumar","Anthony D'Souza","Ashwin Varde Production","Cape Of Good Films,
Viacom 18","",NA,NA,NA,"10/16/2013","N",18840,3476,23653,6813111,"8/26/2013",51
"41","Bullett Raja","2013-11-29",7,23,"33",33,"Flop",2013,50,"Action","","Sonakshi Sinha,Saif Ali Khan","","","","",NA,NA,NA,"11/29/2013","N",168096,2146,8123,4064015,"9/30/2013",60
"42","Byomkesh Bakshi ","2015-04-03",4.2,14," 20.00",26.68,"Average",2015,19,"Thriller","","Sushant Singh Rajput,Anand Tiwari,Swastika Mukherjee,Divya Menon,Meiyang Chang,Neeraj Kabi","Dibakar Banerjee","","","",NA,NA,NA,"4/3/2015","Y",99077,818,9357,3029567,"1/21/2015",72
"43","Chaar Din Ki Chandni","2012-03-08",0.07,3.75,"5",5,"Flop",2012,10,"Rom-Com",""," Tusshar Kapoor,Kulraj Randhawa","Samir Karnik","Top Angle Productions","--","",NA,NA,NA,"3/8/2012","NP",906,764,218,178465,"12/1/2011",98
"44","Chakravyuh","2012-10-24",3.6,11.5,"16",16,"Losing",2012,20,"Crime","","Arjun Rampal,Esha Gupta,Manoj Bajpayee,Kabir Bedi,Om Puri,Anjali Patil,Abhay Deol,Sameera Reddy","Prakash Jha","Prakash Jha Productions
Eros International","Base Industries Groups","",NA,NA,NA,"10/24/2012","NP",1430,216,3032,1228851,"8/16/2012",69
"45","Chalo Dilli","2011-04-29",1,3.75,"5.5",9,"Average",2011,5,"Comedy","","Lara Dutta,Vinay Pathak,Akshay Kumar","","","Eros International Media Ltd.","",NA,NA,NA,"4/29/2011","NP",1870,21,187,313408,"4/2/2011",27
"46","Chashme Baddoor","2013-04-05",5.18,19,"30",40,"Hit",2013,25,"Comedy","","Ali Zafar,Siddharth,Taapsee Pannu,Divyendu Sharma","David Dhawan","Viacom 18","ShowMaker Pictures","",NA,NA,NA,"4/5/2013","N",602137,287,2932,1688641,"2/7/2013",57
"47","Chennai Express","2013-08-09",33.1,100.35,"156.6",227,"Super-Hit",2013,75,"Comedy","","Shah Rukh Khan,Deepika Padukone","Rohit Shetty","","","",NA,NA,NA,"8/9/2013","N",270031,5275,32657,7691139,"6/13/2013",57
"48","Citylights","2014-05-30",0.7,3.57," 06.00",8,"Plus",2014,7,"Drama","","Rajkummar Rao,Patralekha","Hansal Mehta","Vishesh Films","Fox Star Studios","",NA,NA,NA,"5/30/2014","NP",4208,84,1806,1077457,"5/1/2014",29
"49","Cocktail","2012-07-13",10.75,35.65,"55",76,"Hit",2012,65,"Drama","","Deepika Padukone,Diana Penty,Saif Ali Khan"," Homi Adajania"," Illuminati Films","Eros International","",NA,NA,NA,"7/13/2012","NP",84554,926,8879,5299664,"5/20/2012",54
"50","Commando","2013-04-12",3.7,11.15,"18",21,"Plus",2013,15,"Action","","Vidyut Jamwal,Pooja Chopra","Dilip Ghosh","","Reliance Entertainment","",NA,NA,NA,"4/12/2013","N",99213,577,7684,3259677,"1/25/2013",77
"51","Creature 3D","2014-09-12",3.24,11.34,"18.18",20," Hit",2014,27,"Horror","","Bipasha Basu","","","","",NA,NA,NA,"9/12/2014","Y",147016,1541,5882,2880646,"7/16/2014",58
"52","D Day","2013-07-19",2.9,12.9,"24",30,"Losing",2013,30,"Action","","Arjun Rampal,Shruti Haasan,Irrfan Khan,Rishi Kapoor,Huma Qureshi","Nikhil Advani","","DAR Motion Pictures,Yash Raj Films","",NA,NA,NA,"7/19/2013","N",119142,229,1843,1968198,"5/22/2013",58
"53","Daawat-e-Ishq","2014-09-19",3.75,13.6,"20.45",24,"Losing",2014,35,"Rom-Com","","Aditya Roy Kapoor,Parineeti Chopra,Anupam Kher","","","","",NA,NA,NA,"9/19/2014","Y",376321,1374,8326,3906600,"7/7/2014",74
"54","Dabangg 2","2012-12-21",21.1,63.6,"107.6",159,"Super-Hit",2012,60,"Action","","Salman Khan,Sonakshi Sinha","","","","",NA,NA,NA,"12/21/2012","NP",117277,6506,14451,4718948,"11/10/2012",41
"55","Dangerous Ishhq","2012-05-11",1.01,3.08,"6",6,"Flop",2012,16,"Romance","","Karisma Kapoor","Vikram Bhatt","Reliance Entertainment
ASA Productions and Enterprises Pvt. Ltd.","Reliance Entertainment,
Dar Motion Pictures,
BVG Films Present","",NA,NA,NA,"5/11/2012","N",33178,177,665,641564,"4/5/2012",36
"56","Darr @ The Mall","2014-02-21",1,3.5,"4.5",5," Losing",2014,20,"Horror","","Jimmy Shergill","","","","",NA,NA,NA,"2/21/2014","Y",279622,68,648,251665,"1/20/2014",32
"57","David","2013-02-01",0.7,2.5,"3.85",4,"Flop",2013,5,"Thriller","","Vikram,Neil Nitin Mukesh,Vinay Virmani,Tabu,Lara Dutta,Isha Sharvani","Bejoy Nambiar","Getaway Films","Reliance Entertainment","",NA,NA,NA,"2/1/2013","None",860644,95,1572,859324,"12/13/2012",50
"58","Dedh Ishqiya","2014-01-10",3.75,12,"19",27," Plus",2014,30,"Drama","","Madhuri Dixit,Naseeruddin Shah,Arhsad Warsi,Huma Qureshi","","","","",NA,NA,NA,"1/10/2014","Y",793319,591,2436,2333840,"11/25/2013",46
"59","Delhi Belly","2011-07-01",6.25,23,"37.5",54,"Plus",2011,25,"Comedy","","Imran Khan,Vir Das,Kunaal Roy Kapur","Abhinay Deo","","UTV Motion Pictures","",NA,NA,NA,"7/1/2011","NP",254239,242,1826,1768637,"6/1/2011",30
"60","Department","2012-05-18",2.75,7.75,"11.05",12,"Flop",2012,20,"Action / Drama",""," Amitabh Bachchan,Sanjay Dutt","Ram Gopal Varma","Siddhant Oberoi,
Amit Sharma","Viacom 18 Motion Pictures,
Oberoi Line Productions","",NA,NA,NA,"5/18/2012","None",860644,52,538,326910,"4/5/2012",43
"61","Desi Boyz","2011-11-25",9,28.25,"40",125,"Average",2011,65,"Comedy","","Akshay Kumar,John Abraham,Deepika Padukone,Chitrangada Singh","Rohit Dhawan","","Eros International","",NA,NA,NA,"11/25/2011","NP",150174,134,1028,885237,"10/24/2011",32
"62","Dharam Sankat Mein ","2015-04-10",1.3,5,"10",10,"Flop",2015,16,"Comedy","","Paresh Rawal,Annu Kapoor,Naseeruddin Shah","Fuwad Khan","","","",NA,NA,NA,"4/10/2015","N",367,2493,231,1269860,"3/17/2015",24
"63","Dhobi Ghat","2011-01-21",2.85,9,"12",14,"Plus",2011,10,"Drama","","Aamir Khan,Prateik Babbar","","","","",NA,NA,NA,"1/21/2011","NP",53998,28,474,418606,"11/19/2010",63
"64","Dhoom 3","2013-12-20",36,107,"185.5",280,"Hit",2013,125,"Action","","Aamir Khan,Katrina Kaif,Abhishek Bachchan","Vijay Krishna Acharya","Yash Raj Films","Yash Raj Films","",NA,NA,NA,"12/20/2013","Y",4594752,10150,59555,20262919,"10/30/2013",51
"65","Dil Dhadakne Do","2015-06-05",10.53,37.05,"   42.82*",79,"--",2015,86,"Comedy / Drama","","Anil Kapoor,Priyanka Chopra,Ranveer Singh,Anushka Sharma,Shefali Shah,Rahul Bose,Farhan Akhtar","Zoya Akhtar","Excel Entertainment,Junglee Films","","",NA,NA,NA,"6/5/2015","Y",150000,2786,19988,4657298,"4/15/2015",51
"66","Dil Toh Baccha Hai Ji","2011-01-28",3.7,14,"20.75",28,"Average",2011,23,"Rom-Com","","Ajay Devgn,Emraan Hashmi,Omi Vaidya,Shruti Haasan","","","","",NA,NA,NA,"1/28/2011","NP",42331,5,80,167172,"11/27/2010",62
"67","Dilliwali Zaalim Girlfriend","2015-03-20",0.6,1.75,"2.5",2.5,"Flop",2015,12,"Rom-Com","","Divyendu Sharma,Pradhuman Singh,Jackie Shroff,Ira Dubey,Prachi Mishra","Japinder Kaur","","","",NA,NA,NA,"3/20/2015","N",54733,808,4298,2321222,"2/16/2015",32
"68","Dirty Politics","2015-03-06",1.3,3.94,"7",7,"Flop",2015,15,"Drama","","Mallika Sherawat,Jackie Shroff,Ashutosh Rana,Anupam Kher,Om Puri,Naseeruddin Shah","KC Bokadia","","","",NA,NA,NA,"3/6/2015","N",893,1040,2298,2384414,"12/21/2014",75
"69","Dishkiyaoon","2014-03-28",1.25,3.6,"6",6,"Flop",2014,35,"Crime","","Harman Baweja,Sunny Deol","","","","",NA,NA,NA,"3/28/2014","NP",950,465,3365,2398508,"1/22/2014",65
"70","Dolly Ki Doli","2015-01-23",2,10.3,"18.66",19,"-Flop",2015,25,"Rom-Com","","Sonam Kapoor,Pulkit Samrat,Rajkummar Rao,Varun Sharma","Abhishek Dogra","","","",NA,NA,NA,"1/23/2015","Y",83285,834,5800,2548366,"12/12/2014",42
"71","Don 2","2011-12-23",15.3,48.55,"73",100,"Plus",2011,75,"Crime","","Shah Rukh Khan,Priyanka Chopra,Lara Dutta,Kunal Kapoor,Boman Irani,Om Puri","Farhan Akhtar","","","",NA,NA,NA,"12/23/2011","Y",2605328,12,489,78105,"10/24/2011",60
"72","Double Dhamaal","2011-06-24",7.65,25.5,"36.5",47,"Average",2011,35,"Comedy","","Sanjay Dutt,Mallika Sherawat,Kangana Ranaut,Arshad Warsi","Indra Kumar","","","",NA,NA,NA,"6/24/2011","NP",78198,56,664,797261,"5/19/2011",36
"73","Dum Laga Ke Haisha","2015-02-27",1.1,6,"10.65",30,"Hit",2015,13,"Rom-Com","","Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra,Seema Pahwa,Sheeba Chaddha,Alka Amin","Sharat Katariya","","","",NA,NA,NA,"2/27/2015","Y",94280,620,8196,3259537,"2/5/2015",22
"74","Dum Maaro Dum","2011-04-22",5,14.25,"21.5",30,"Losing",2011,35,"Crime","","Abhishek Bachchan,Bipasha Basu,Rana Daggubati,Prateik Babbar","","","","",NA,NA,NA,"4/22/2011","N",167280,5,34,39441,"4/12/2011",10
"75","Ek Main Aur Ekk Tu","2012-02-10",5.25,21.25,"32.75",40,"Average",2012,36,"Rom-Com","","Kareena Kapoor Khan,Imran Khan","Shakun Batra","Dharma Productions","UTV Motion Pictures","",NA,NA,NA,"2/10/2012","N",736076,228,1837,1310161,"11/30/2011",72
"76","Ek Tha Tiger","2012-08-15",32.92,116.05,"135.05",198,"Super-Hit",2012,90,"Action","","Salman Khan,Katrina Kaif","Kabir Khan","Yash Raj Films","Yash Raj Films","",NA,NA,NA,"8/15/2012","Y",4690706,2902,14124,6432763,"6/26/2012",50
"77","Ek Thi Daayan","2013-04-19",6.24,18,"26",45,"Plus",2013,24,"Horror","","Emraan Hashmi,Huma Qureshi,Konkona Sen Sharma,Kalki Koechlin","Kannan Iyer","ALT Entertainment,
VB Pictures","Balaji Motion Pictures","Sony Music India",NA,NA,NA,"4/19/2013","None",0,627,3327,1874808,"1/9/2013",100
"78","Ek Villain","2014-06-27",16.72,50.7,"77.2",106,"Super-Hit",2014,36,"Thriller","","Siddharth Malhotra,Ritesh Deshmukh,Shraddha Kapoor","","","","",NA,NA,NA,"6/27/2014","N",229231,1100,13644,4525630,"5/26/2014",32
"79","Ekk Deewana Tha","2012-02-17",0.07,2.75,"3.75",6,"Flop",2012,10,"Romance","","Prateik Babbar,Amy Jackson","Gautham Vasudev Menon","Gautham Vasudev Menon","","",NA,NA,NA,"2/17/2012","N",161845,56,764,568971,"12/23/2011",56
"80","English Vinglish","2012-10-05",2.5,13,"20.5",40,"Hit",2012,15,"Comedy / Drama","","Sridevi","Gauri Shinde","Hope Productions","Eros International","",NA,NA,NA,"10/5/2012","NP",91872,612,6626,3204430,"8/13/2012",53
"81","Entertainment","2014-08-08",11.16,36.69,"56.5",73,"Plus",2014,60,"Comedy","","Akshay Kumar,Mithun Chakraborty,Tamannaah Bhatia,Johnny Lever","","","","",NA,NA,NA,"8/8/2014","Y",1504695,2850,20522,6340468,"5/19/2014",81
"82","F.A.L.T.U.","2011-04-01",4.5,10.75,"16.25",23,"Average",2011,20,"Comedy","","Arshad Warsi,Ritesh Deshmukh,Jackky Bhagnani,Puja Gupta","","","","",NA,NA,NA,"4/1/2011","Y",848482,42,182,332412,"2/8/2011",52
"83","Ferrari Ki Sawaari","2012-06-15",3.04,14,"19.05",29,"Average",2012,10,"Comedy","","Sharman Joshi,Boman Irani","Rajesh Mapuskar","Vidhu Vinod Chopra","Vinod Chopra Productions","",NA,NA,NA,"6/15/2012","NP",6041,30,243,192934,"5/8/2012",38
"84","Filmistaan","2014-06-06",0.51,2.81,"5",6,"Flop",2014,10,"Comedy","","Sharib Hashmi,Inaamulhaq","Nitin Kakkar","","","",NA,NA,NA,"6/6/2014","NP",815,173,1611,989821,"4/16/2014",51
"85","Finding Fanny","2014-09-12",5.1,19.9,"28.09",36," Hit",2014,15,"Comedy","","Deepika Padukone,Arjun Kapoor,Pankaj Kapoor,Naseeruddin Shah,Dimple Kapadia","","","","",NA,NA,NA,"9/12/2014","N",48092,2752,13033,6145833,"7/8/2014",66
"86","Force","2011-09-30",5,16,"23",26,"Average",2011,12,"Action","","John Abraham,Genelia D'Souza,Raj Babbar","Nishikanth Kamath","","","",NA,NA,NA,"9/30/2011","NP",199,22,319,329209,"8/17/2011",44
"87","Fugly","2014-06-13",2.85,9.5,"11",12,"Flop",2014,16,"Drama","","Jimmy Shergill,Mohit Marwah,Kiara Advani,Vijender Singh","","","","",NA,NA,NA,"6/13/2014","NP",1363,556,2964,2343900,"4/7/2014",67
"88","Fukrey","2013-06-14",2.75,9.5,"18.5",37,"Super-Hit",2013,5,"Comedy","","Pulkit Samrat,Ali Fazal,Manjot Singh,Priya Anand,Richa Chadda","Mrighdeep Singh Lamba","Excel Entertainment","","",NA,NA,NA,"6/14/2013","Y",789303,51,276,106325,"4/12/2013",63
"89","Gabbar is Back","2015-05-01",13.05,40," 56.75",86,"Hit",2015,72,"Action","","Akshay Kumar,Shruti Haasan,Suman Talwar,Sunil Grover,Kareena Kapoor Khan Khan","Krish","Bhansali Productions","Viacom 18","",NA,NA,NA,"5/1/2015","Y",622013,1899,24104,5003859,"3/23/2015",39
"90","Game","2011-04-01",1.25,4.5,"6",7,"Flop",2011,20,"Thriller","","Abhishek Bachchan,Kangana Ranaut,Gauhar Khan,Jimmy Shergill,Boman Irani,Anupam Kher","","","","",NA,NA,NA,"4/1/2011","NP",1799,2,25,21382,"12/9/2010",113
"91","Gangs Of Wasseypur","2012-06-29",2.7,15.6,"17",27,"Plus",2012,9.2,"Crime","","Manoj Bajpai,Tigmanshu Dhulia,Nawazuddin Siddiqui,Reemma Sen,Huma Qureshi,Richa Chadda,Syed Zeeshan Qadri,Jaideep Ahlawat","Anurag Kashyap","Anurag Kashyap Films,
Jar Pictures","Viacom 18","",NA,NA,NA,"6/29/2012","N",467643,165,1841,1274650,"5/10/2012",50
"92","Gangs Of Wasseypur 2","2012-08-08",2.8,15.25,"18.5",44,"Average",2012,9.2,"Crime","","Aditya Kumar,Nawazuddin Siddiqui,Vineet Kumar Singh,Huma Qureshi,Richa Chadda,Tigmanshu Dhulia","Anurag Kashyap","Anurag Kashyap Films,
Jar Pictures","Viacom 18","",NA,NA,NA,"8/8/2012","NP",7122,195,3418,1422334,"7/5/2012",34
"93","Ghanchakkar","2013-06-28",7.2,22.75,"32",38,"Average",2013,30,"Comedy","","Emraan Hashmi,Vidya Balan","Rajkumar Gupta","","UTV Motion Pictures","",NA,NA,NA,"6/28/2013","NP",3546,618,5121,2296107,"3/28/2013",92
"94","Gippi","2013-05-10",0.75,3,"4.5",5,"Average",2013,3,"Kids","","Riya Vij,Taaha Shah,Divya Dutta","Sonam Nair","","Dharma Productions","",NA,NA,NA,"5/10/2013","N",105624,577,2936,1643982,"4/1/2013",39
"95","Go Goa Gone","2013-05-10",3.75,12.9,"20",25,"Plus",2013,18,"Comedy","","Saif Ali Khan,Vir Das,Kunal Khemu,","","","","",NA,NA,NA,"5/10/2013","N",1670,978,10229,4394971,"3/25/2013",46
